age_category,education_level,it_experience,email_frequency,security_training_prior,personality_extraversion,personality_agreeableness,personality_conscientiousness,personality_neuroticism,personality_openness,pre_security_engagement,pre_security_attentiveness,pre_security_resistance,pre_security_concern,pre_security_attitude_total,knowledge_total,proficiency,class_phish_accuracy,class_nophish_accuracy
2.0,2.0,2.0,3.0,0.0,0.27666510262466326,0.03901742761214643,0.1893188547909143,0.10831734649732354,0.4591235945951926,0.0,0.0,0.0,0.0,0.0,-0.2723813140284189,0.1137765567146299,0.833333333333333,1.0
1.0,2.0,2.0,3.0,0.0,0.27666510262466326,-0.5169809158609384,-0.4332489176945928,0.10831734649732354,-0.6705186309555691,0.0,0.0,0.0,0.0,0.0,-1.089525256113677,-2.459902908874259,0.666666666666667,0.6
2.0,2.0,2.0,3.0,0.0,0.27666510262466326,-1.6289776028071081,-1.0558166901800998,0.10831734649732354,1.5887658201459542,0.0,0.0,0.0,0.0,0.0,-0.5788102923103916,0.17505463922865086,0.333333333333333,1.0
2.0,2.0,2.0,3.0,0.0,-0.7089543254756996,-0.5169809158609384,1.4344543997619283,1.0009566838969546,1.5887658201459542,0.0,0.0,0.0,0.0,0.0,0.9533345990994703,-0.3764481033975398,0.666666666666667,1.0
2.0,2.0,2.0,3.0,0.0,-0.2161446114255182,-1.0729792593340233,0.1893188547909143,0.10831734649732354,0.4591235945951926,0.0,0.0,0.0,0.0,0.0,-0.2723813140284189,-0.8360337222526986,0.833333333333333,0.666666666666667
1.0,2.0,2.0,3.0,0.0,-0.7089543254756996,0.03901742761214643,1.4344543997619283,0.554637015197139,1.5887658201459542,0.0,0.0,0.0,0.0,0.0,0.9533345990994703,0.6346402580838095,0.333333333333333,1.0
4.0,2.0,2.0,3.0,0.0,0.7694748166748446,-0.5169809158609384,0.1893188547909143,0.10831734649732354,0.4591235945951926,0.0,0.0,0.0,0.0,0.0,0.9533345990994703,0.8491135468828834,0.833333333333333,0.833333333333333
2.0,2.0,2.0,3.0,0.0,-0.7089543254756996,0.5950157710852313,-0.4332489176945928,-0.7843219909023074,1.5887658201459542,0.0,0.0,0.0,0.0,0.0,-0.5788102923103916,-0.8053946809956876,0.333333333333333,1.0
3.0,2.0,2.0,3.0,0.0,-0.7089543254756996,-1.6289776028071081,0.1893188547909143,0.554637015197139,-0.6705186309555691,0.0,0.0,0.0,0.0,0.0,-0.2723813140284189,0.20569368048566186,0.666666666666667,1.0
2.0,2.0,2.0,3.0,0.0,-0.2161446114255182,1.707012458031401,1.4344543997619283,0.10831734649732354,-0.10569751818018822,0.0,0.0,0.0,0.0,0.0,-0.2723813140284189,-0.25389193836949686,0.5,1.0
2.0,2.0,2.0,3.0,0.0,0.27666510262466326,-0.5169809158609384,1.4344543997619283,0.10831734649732354,-0.10569751818018822,0.0,0.0,0.0,0.0,0.0,0.9533345990994703,0.08313751545761888,0.666666666666667,0.833333333333333
3.0,2.0,2.0,3.0,0.0,1.262284530725026,0.5950157710852313,-1.0558166901800998,-1.2306416596021228,-0.10569751818018822,0.0,0.0,0.0,0.0,0.0,-2.1109551837202534,0.7878354643688624,1.0,1.0
1.0,2.0,2.0,3.0,0.0,0.7694748166748446,0.5950157710852313,-1.0558166901800998,-0.33800232220249193,0.4591235945951926,0.0,0.0,0.0,0.0,0.0,-0.06809532850710609,-0.4990042684255817,0.5,0.833333333333333
3.0,2.0,2.0,3.0,0.0,1.262284530725026,1.1510141145583161,1.4344543997619283,0.10831734649732354,1.0239447073705734,0.0,0.0,0.0,0.0,0.0,0.9533345990994703,1.645728619565159,0.833333333333333,1.0
1.0,2.0,2.0,3.0,0.0,-0.7089543254756996,-2.184975946280193,-0.4332489176945928,0.554637015197139,1.5887658201459542,0.0,0.0,0.0,0.0,0.0,-0.06809532850710609,0.9103916293969043,0.666666666666667,1.0
1.0,2.0,2.0,3.0,0.0,1.7550942447752076,0.5950157710852313,0.8118866272764214,0.554637015197139,-0.10569751818018822,0.0,0.0,0.0,0.0,0.0,-0.5788102923103916,-1.877761124991058,0.5,1.0
3.0,2.0,2.0,3.0,0.0,0.27666510262466326,0.03901742761214643,-0.4332489176945928,-0.7843219909023074,-1.8001608565063307,0.0,0.0,0.0,0.0,0.0,-0.06809532850710609,-0.5602823509396027,0.5,1.0
4.0,2.0,2.0,3.0,0.0,0.7694748166748446,0.03901742761214643,0.1893188547909143,-0.7843219909023074,1.0239447073705734,0.0,0.0,0.0,0.0,0.0,0.9533345990994703,1.2474210832240211,0.666666666666667,1.0
2.0,2.0,2.0,3.0,0.0,0.27666510262466326,1.1510141145583161,0.1893188547909143,-0.33800232220249193,-0.10569751818018822,0.0,0.0,0.0,0.0,0.0,-0.06809532850710609,1.7989238258502118,1.0,0.8
2.0,2.0,2.0,3.0,0.0,-0.2161446114255182,0.5950157710852313,-0.4332489176945928,-0.33800232220249193,1.0239447073705734,0.0,0.0,0.0,0.0,0.0,-0.2723813140284189,-0.8053946809956876,0.166666666666667,1.0
